  0%|                                                                       | 0/16200 [00:00<?, ?it/s]/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:557: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than tensor.new_tensor(sourceTensor).
{'loss': 3.6113, 'grad_norm': 8.062714576721191, 'learning_rate': 0.00019512345679012348, 'epoch': 0.07}
{'loss': 3.2694, 'grad_norm': 7.421031951904297, 'learning_rate': 0.00019506172839506175, 'epoch': 0.07}
{'loss': 3.3762, 'grad_norm': 17.005386352539062, 'learning_rate': 0.000195, 'epoch': 0.08}
{'loss': 3.7044, 'grad_norm': 6.5099945068359375, 'learning_rate': 0.00019493827160493827, 'epoch': 0.08}
{'loss': 4.0703, 'grad_norm': 6.722643852233887, 'learning_rate': 0.00019487654320987657, 'epoch': 0.08}
{'loss': 3.7195, 'grad_norm': 6.459977626800537, 'learning_rate': 0.00019481481481481482, 'epoch': 0.08}
{'loss': 3.4078, 'grad_norm': 13.36444091796875, 'learning_rate': 0.0001947530864197531, 'epoch': 0.08}
{'loss': 3.6089, 'grad_norm': 6.199448585510254, 'learning_rate': 0.00019469135802469137, 'epoch': 0.08}
{'loss': 2.8204, 'grad_norm': 8.887015342712402, 'learning_rate': 0.00019462962962962964, 'epoch': 0.08}
{'loss': 2.7901, 'grad_norm': 10.418254852294922, 'learning_rate': 0.0001945679012345679, 'epoch': 0.08}
{'loss': 4.1012, 'grad_norm': 9.266898155212402, 'learning_rate': 0.0001945061728395062, 'epoch': 0.08}
{'loss': 3.2334, 'grad_norm': 11.1925630569458, 'learning_rate': 0.00019444444444444446, 'epoch': 0.08}
{'loss': 3.0177, 'grad_norm': 8.343331336975098, 'learning_rate': 0.0001943827160493827, 'epoch': 0.09}
{'loss': 3.5603, 'grad_norm': 5.631224155426025, 'learning_rate': 0.000194320987654321, 'epoch': 0.09}
{'loss': 3.5229, 'grad_norm': 5.895113468170166, 'learning_rate': 0.00019425925925925928, 'epoch': 0.09}
{'loss': 3.2365, 'grad_norm': 5.501543998718262, 'learning_rate': 0.00019419753086419753, 'epoch': 0.09}
{'loss': 3.0611, 'grad_norm': 11.696539878845215, 'learning_rate': 0.0001941358024691358, 'epoch': 0.09}
{'loss': 4.4602, 'grad_norm': 9.7203369140625, 'learning_rate': 0.00019407407407407408, 'epoch': 0.09}
{'loss': 4.5132, 'grad_norm': 6.313962459564209, 'learning_rate': 0.00019401234567901238, 'epoch': 0.09}
{'loss': 3.1785, 'grad_norm': 9.9984130859375, 'learning_rate': 0.00019395061728395062, 'epoch': 0.09}
{'loss': 3.5809, 'grad_norm': 7.720208644866943, 'learning_rate': 0.0001938888888888889, 'epoch': 0.09}
  warnings.warn(                                                                                      
{'eval_loss': 3.145261764526367, 'eval_runtime': 414.0432, 'eval_samples_per_second': 1.449, 'eval_steps_per_second': 1.449, 'epoch': 0.09}
/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:557: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than tensor.new_tensor(sourceTensor).
  decoder_attention_mask = decoder_input_ids.new_tensor(decoder_input_ids != self.config.pad_token_id)
/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:577: FutureWarning: Version v4.12.0 introduces a better way to train encoder-decoder models by computing the loss inside the encoder-decoder framework rather than in the decoder itself. You may observe training discrepancies if fine-tuning a model trained with versions anterior to 4.12.0. The decoder_input_ids are now created based on the labels, no need to pass them yourself anymore.
  warnings.warn(DEPRECATION_WARNING, FutureWarning)
                                                                                                      
{'loss': 3.4903, 'grad_norm': 10.181840896606445, 'learning_rate': 0.00019382716049382717, 'epoch': 0.09}
{'loss': 2.9947, 'grad_norm': 7.616023063659668, 'learning_rate': 0.00019376543209876542, 'epoch': 0.09}
{'loss': 3.49, 'grad_norm': 5.724084854125977, 'learning_rate': 0.00019370370370370372, 'epoch': 0.1}
{'loss': 3.4284, 'grad_norm': 7.248626708984375, 'learning_rate': 0.000193641975308642, 'epoch': 0.1}
{'loss': 3.6184, 'grad_norm': 6.048671245574951, 'learning_rate': 0.00019358024691358027, 'epoch': 0.1}
{'loss': 3.7908, 'grad_norm': 7.0198469161987305, 'learning_rate': 0.0001935185185185185, 'epoch': 0.1}
{'loss': 2.721, 'grad_norm': 6.563958168029785, 'learning_rate': 0.00019345679012345681, 'epoch': 0.1}
{'loss': 3.4481, 'grad_norm': 5.29697847366333, 'learning_rate': 0.0001933950617283951, 'epoch': 0.1}
{'loss': 3.7927, 'grad_norm': 23.4228458404541, 'learning_rate': 0.00019333333333333333, 'epoch': 0.1}
{'loss': 3.2078, 'grad_norm': 9.282489776611328, 'learning_rate': 0.0001932716049382716, 'epoch': 0.1}
{'loss': 3.5201, 'grad_norm': 6.596360206604004, 'learning_rate': 0.00019320987654320988, 'epoch': 0.1}
{'loss': 3.3233, 'grad_norm': 7.291106700897217, 'learning_rate': 0.00019314814814814816, 'epoch': 0.1}
{'loss': 3.8359, 'grad_norm': 7.795210361480713, 'learning_rate': 0.00019308641975308643, 'epoch': 0.1}
{'loss': 3.6864, 'grad_norm': 12.455098152160645, 'learning_rate': 0.0001930246913580247, 'epoch': 0.11}
{'loss': 3.3834, 'grad_norm': 6.468979358673096, 'learning_rate': 0.00019296296296296298, 'epoch': 0.11}
{'loss': 3.4676, 'grad_norm': 6.650251388549805, 'learning_rate': 0.00019290123456790122, 'epoch': 0.11}
{'loss': 3.6213, 'grad_norm': 8.366819381713867, 'learning_rate': 0.00019283950617283952, 'epoch': 0.11}
{'loss': 3.4291, 'grad_norm': 6.586604118347168, 'learning_rate': 0.0001927777777777778, 'epoch': 0.11}
{'loss': 3.6743, 'grad_norm': 6.189530372619629, 'learning_rate': 0.00019271604938271605, 'epoch': 0.11}
{'loss': 3.293, 'grad_norm': 5.457849979400635, 'learning_rate': 0.00019265432098765432, 'epoch': 0.11}
{'loss': 3.2509, 'grad_norm': 5.367327690124512, 'learning_rate': 0.0001925925925925926, 'epoch': 0.11}
{'loss': 3.7914, 'grad_norm': 8.640896797180176, 'learning_rate': 0.0001925308641975309, 'epoch': 0.11}
{'loss': 3.2637, 'grad_norm': 4.694164276123047, 'learning_rate': 0.00019246913580246914, 'epoch': 0.11}
{'loss': 3.6883, 'grad_norm': 12.728911399841309, 'learning_rate': 0.00019240740740740741, 'epoch': 0.11}
{'loss': 3.7356, 'grad_norm': 6.162914276123047, 'learning_rate': 0.0001923456790123457, 'epoch': 0.12}
{'loss': 3.3861, 'grad_norm': 7.503389358520508, 'learning_rate': 0.00019228395061728396, 'epoch': 0.12}
{'loss': 3.1644, 'grad_norm': 12.139238357543945, 'learning_rate': 0.00019222222222222224, 'epoch': 0.12}
{'loss': 3.2836, 'grad_norm': 7.807848930358887, 'learning_rate': 0.0001921604938271605, 'epoch': 0.12}
{'loss': 2.9032, 'grad_norm': 4.916998863220215, 'learning_rate': 0.00019209876543209878, 'epoch': 0.12}
{'loss': 4.5554, 'grad_norm': 20.72572135925293, 'learning_rate': 0.00019203703703703703, 'epoch': 0.12}
{'loss': 2.9698, 'grad_norm': 3.995712995529175, 'learning_rate': 0.00019197530864197533, 'epoch': 0.12}
{'loss': 3.6075, 'grad_norm': 6.022473335266113, 'learning_rate': 0.0001919135802469136, 'epoch': 0.12}
{'loss': 3.049, 'grad_norm': 5.219223499298096, 'learning_rate': 0.00019185185185185185, 'epoch': 0.12}
{'loss': 3.8419, 'grad_norm': 16.224828720092773, 'learning_rate': 0.00019179012345679012, 'epoch': 0.12}
{'loss': 3.466, 'grad_norm': 10.382229804992676, 'learning_rate': 0.0001917283950617284, 'epoch': 0.12}
{'loss': 3.9847, 'grad_norm': 12.65738296508789, 'learning_rate': 0.00019166666666666667, 'epoch': 0.13}
{'loss': 2.9088, 'grad_norm': 7.252695083618164, 'learning_rate': 0.00019160493827160495, 'epoch': 0.13}
{'loss': 3.5531, 'grad_norm': 8.566587448120117, 'learning_rate': 0.00019154320987654322, 'epoch': 0.13}
{'loss': 3.4678, 'grad_norm': 11.872379302978516, 'learning_rate': 0.0001914814814814815, 'epoch': 0.13}
{'loss': 3.3026, 'grad_norm': 5.423629283905029, 'learning_rate': 0.00019141975308641977, 'epoch': 0.13}
{'loss': 3.0459, 'grad_norm': 8.449477195739746, 'learning_rate': 0.00019135802469135804, 'epoch': 0.13}
{'loss': 3.62, 'grad_norm': 7.587066173553467, 'learning_rate': 0.00019129629629629632, 'epoch': 0.13}
{'loss': 3.4302, 'grad_norm': 13.739468574523926, 'learning_rate': 0.00019123456790123456, 'epoch': 0.13}
{'loss': 3.6115, 'grad_norm': 11.153858184814453, 'learning_rate': 0.00019117283950617284, 'epoch': 0.13}
{'loss': 2.8774, 'grad_norm': 5.094882011413574, 'learning_rate': 0.00019111111111111114, 'epoch': 0.13}
{'loss': 3.5171, 'grad_norm': 9.570791244506836, 'learning_rate': 0.00019104938271604938, 'epoch': 0.14}
{'loss': 3.009, 'grad_norm': 8.140852928161621, 'learning_rate': 0.00019098765432098766, 'epoch': 0.14}
{'loss': 3.7824, 'grad_norm': 7.059525489807129, 'learning_rate': 0.00019092592592592593, 'epoch': 0.14}
{'loss': 3.5732, 'grad_norm': 6.925453186035156, 'learning_rate': 0.0001908641975308642, 'epoch': 0.14}
{'loss': 2.8527, 'grad_norm': 5.502496719360352, 'learning_rate': 0.00019080246913580248, 'epoch': 0.14}
{'loss': 3.3889, 'grad_norm': 7.720320224761963, 'learning_rate': 0.00019074074074074075, 'epoch': 0.14}
{'loss': 3.6471, 'grad_norm': 6.672675609588623, 'learning_rate': 0.00019067901234567903, 'epoch': 0.14}
{'loss': 3.3882, 'grad_norm': 7.745292663574219, 'learning_rate': 0.0001906172839506173, 'epoch': 0.14}
{'loss': 3.5976, 'grad_norm': 13.076911926269531, 'learning_rate': 0.00019055555555555555, 'epoch': 0.14}
{'loss': 3.5502, 'grad_norm': 7.924073696136475, 'learning_rate': 0.00019049382716049385, 'epoch': 0.14}
{'loss': 3.2988, 'grad_norm': 15.46238899230957, 'learning_rate': 0.00019043209876543212, 'epoch': 0.14}
{'loss': 2.88, 'grad_norm': 4.846343994140625, 'learning_rate': 0.00019037037037037037, 'epoch': 0.15}
{'loss': 2.6627, 'grad_norm': 5.081417560577393, 'learning_rate': 0.00019030864197530864, 'epoch': 0.15}
{'loss': 3.1335, 'grad_norm': 7.348114967346191, 'learning_rate': 0.00019024691358024694, 'epoch': 0.15}
{'loss': 3.4681, 'grad_norm': 4.506019592285156, 'learning_rate': 0.0001901851851851852, 'epoch': 0.15}
{'loss': 3.4211, 'grad_norm': 11.233297348022461, 'learning_rate': 0.00019012345679012346, 'epoch': 0.15}
{'loss': 3.009, 'grad_norm': 9.600447654724121, 'learning_rate': 0.00019006172839506174, 'epoch': 0.15}
{'loss': 2.7496, 'grad_norm': 5.48635196685791, 'learning_rate': 0.00019, 'epoch': 0.15}
{'loss': 3.6443, 'grad_norm': 5.65532112121582, 'learning_rate': 0.00018993827160493828, 'epoch': 0.15}
{'loss': 3.0961, 'grad_norm': 7.7192769050598145, 'learning_rate': 0.00018987654320987656, 'epoch': 0.15}
{'loss': 3.3692, 'grad_norm': 10.094099998474121, 'learning_rate': 0.00018981481481481483, 'epoch': 0.15}
{'loss': 3.0703, 'grad_norm': 10.583879470825195, 'learning_rate': 0.00018975308641975308, 'epoch': 0.15}
{'loss': 2.9706, 'grad_norm': 8.621075630187988, 'learning_rate': 0.00018969135802469135, 'epoch': 0.16}
{'loss': 3.5782, 'grad_norm': 9.302000045776367, 'learning_rate': 0.00018962962962962965, 'epoch': 0.16}
{'loss': 3.4426, 'grad_norm': 6.4426093101501465, 'learning_rate': 0.0001895679012345679, 'epoch': 0.16}
{'loss': 3.305, 'grad_norm': 7.663449287414551, 'learning_rate': 0.00018950617283950617, 'epoch': 0.16}
{'loss': 2.7485, 'grad_norm': 5.62996244430542, 'learning_rate': 0.00018944444444444445, 'epoch': 0.16}
{'loss': 3.8302, 'grad_norm': 6.571327209472656, 'learning_rate': 0.00018938271604938275, 'epoch': 0.16}
{'loss': 2.8891, 'grad_norm': 20.924728393554688, 'learning_rate': 0.000189320987654321, 'epoch': 0.16}
{'loss': 3.049, 'grad_norm': 6.5639967918396, 'learning_rate': 0.00018925925925925927, 'epoch': 0.16}
{'loss': 3.0571, 'grad_norm': 10.655790328979492, 'learning_rate': 0.00018919753086419754, 'epoch': 0.16}
{'loss': 3.6047, 'grad_norm': 6.432441711425781, 'learning_rate': 0.00018913580246913582, 'epoch': 0.16}
{'loss': 3.5106, 'grad_norm': 6.358458518981934, 'learning_rate': 0.0001890740740740741, 'epoch': 0.16}
{'loss': 3.6567, 'grad_norm': 8.543269157409668, 'learning_rate': 0.00018901234567901236, 'epoch': 0.17}
{'loss': 3.614, 'grad_norm': 13.037322044372559, 'learning_rate': 0.00018895061728395064, 'epoch': 0.17}
{'loss': 3.1508, 'grad_norm': 8.585877418518066, 'learning_rate': 0.00018888888888888888, 'epoch': 0.17}
{'loss': 3.8632, 'grad_norm': 10.645017623901367, 'learning_rate': 0.00018882716049382716, 'epoch': 0.17}
{'loss': 3.5183, 'grad_norm': 12.365767478942871, 'learning_rate': 0.00018876543209876546, 'epoch': 0.17}
{'loss': 4.1479, 'grad_norm': 5.931811332702637, 'learning_rate': 0.0001887037037037037, 'epoch': 0.17}
{'loss': 3.2924, 'grad_norm': 8.587997436523438, 'learning_rate': 0.00018864197530864198, 'epoch': 0.17}
{'loss': 3.329, 'grad_norm': 8.708208084106445, 'learning_rate': 0.00018858024691358025, 'epoch': 0.17}
{'loss': 2.8019, 'grad_norm': 4.201338291168213, 'learning_rate': 0.00018851851851851853, 'epoch': 0.17}
{'loss': 2.5385, 'grad_norm': 10.431682586669922, 'learning_rate': 0.0001884567901234568, 'epoch': 0.17}
{'loss': 3.2604, 'grad_norm': 8.472437858581543, 'learning_rate': 0.00018839506172839507, 'epoch': 0.17}
{'loss': 3.2205, 'grad_norm': 5.778090000152588, 'learning_rate': 0.00018833333333333335, 'epoch': 0.18}
{'loss': 3.4875, 'grad_norm': 5.186820983886719, 'learning_rate': 0.0001882716049382716, 'epoch': 0.18}
{'loss': 3.6464, 'grad_norm': 4.4121904373168945, 'learning_rate': 0.0001882098765432099, 'epoch': 0.18}
{'loss': 2.9673, 'grad_norm': 5.268876552581787, 'learning_rate': 0.00018814814814814817, 'epoch': 0.18}
{'loss': 3.0615, 'grad_norm': 5.49829626083374, 'learning_rate': 0.00018808641975308642, 'epoch': 0.18}
{'loss': 3.0957, 'grad_norm': 6.365408420562744, 'learning_rate': 0.0001880246913580247, 'epoch': 0.18}
{'loss': 2.7549, 'grad_norm': 16.33177375793457, 'learning_rate': 0.00018796296296296296, 'epoch': 0.18}
{'loss': 3.5528, 'grad_norm': 5.783020973205566, 'learning_rate': 0.00018790123456790126, 'epoch': 0.18}
{'loss': 2.7351, 'grad_norm': 9.363245010375977, 'learning_rate': 0.0001878395061728395, 'epoch': 0.18}
{'loss': 3.407, 'grad_norm': 8.958420753479004, 'learning_rate': 0.00018777777777777779, 'epoch': 0.18}
{'loss': 3.7643, 'grad_norm': 6.202800273895264, 'learning_rate': 0.00018771604938271606, 'epoch': 0.19}
  warnings.warn(                                  
{'eval_loss': 2.9911866188049316, 'eval_runtime': 412.861, 'eval_samples_per_second': 1.453, 'eval_steps_per_second': 1.453, 'epoch': 0.19}
/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:557: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.detach().clone() or sourceTensor.detach().clone().requires_grad_(True), rather than tensor.new_tensor(sourceTensor).
  decoder_attention_mask = decoder_input_ids.new_tensor(decoder_input_ids != self.config.pad_token_id)
/root/miniconda3/lib/python3.12/site-packages/transformers/models/encoder_decoder/modeling_encoder_decoder.py:577: FutureWarning: Version v4.12.0 introduces a better way to train encoder-decoder models by computing the loss inside the encoder-decoder framework rather than in the decoder itself. You may observe training discrepancies if fine-tuning a model trained with versions anterior to 4.12.0. The decoder_input_ids are now created based on the labels, no need to pass them yourself anymore.
  warnings.warn(DEPRECATION_WARNING, FutureWarning)
                                                  
{'loss': 3.1063, 'grad_norm': 5.128060340881348, 'learning_rate': 0.00018765432098765433, 'epoch': 0.19}
{'loss': 3.0866, 'grad_norm': 8.030401229858398, 'learning_rate': 0.0001875925925925926, 'epoch': 0.19}
{'loss': 3.6105, 'grad_norm': 13.497366905212402, 'learning_rate': 0.00018753086419753088, 'epoch': 0.19}
{'loss': 3.954, 'grad_norm': 4.225550174713135, 'learning_rate': 0.00018746913580246915, 'epoch': 0.19}
{'loss': 3.4269, 'grad_norm': 4.522258281707764, 'learning_rate': 0.0001874074074074074, 'epoch': 0.19}
{'loss': 3.2218, 'grad_norm': 5.821231842041016, 'learning_rate': 0.0001873456790123457, 'epoch': 0.19}
{'loss': 3.9139, 'grad_norm': 5.732687950134277, 'learning_rate': 0.00018728395061728398, 'epoch': 0.19}
{'loss': 2.6739, 'grad_norm': 6.476191520690918, 'learning_rate': 0.00018722222222222222, 'epoch': 0.19}
{'loss': 3.2719, 'grad_norm': 5.6820478439331055, 'learning_rate': 0.0001871604938271605, 'epoch': 0.19}
{'loss': 3.1533, 'grad_norm': 8.23654556274414, 'learning_rate': 0.00018709876543209877, 'epoch': 0.19}
{'loss': 2.969, 'grad_norm': 6.433566570281982, 'learning_rate': 0.00018703703703703704, 'epoch': 0.2}
